feature,importance
tqwt_medianValue_dec_9,0.20046717526354263
tqwt_entropy_shannon_dec_16,0.1942765320439459
tqwt_stdValue_dec_8,0.19306024657903686
tqwt_energy_dec_14,0.19298548303349092
std_2nd_delta,0.19241769106765397
app_entropy_shannon_3_coef,0.19067354184209392
app_LT_TKEO_mean_2_coef,0.19038953858717306
tqwt_TKEO_std_dec_8,0.18991604446972238
tqwt_medianValue_dec_1,0.18931439589989887
tqwt_entropy_log_dec_33,0.18842496098544675
tqwt_stdValue_dec_3,0.1846272220929712
tqwt_energy_dec_28,0.18446909270261674
tqwt_TKEO_mean_dec_35,0.1814722766151179
app_entropy_shannon_6_coef,0.1811430556638613
tqwt_energy_dec_21,0.17846358996031048
tqwt_energy_dec_18,0.17794813424286574
std_9th_delta_delta,0.17499420652091863
tqwt_kurtosisValue_dec_2,0.1749023620186867
tqwt_entropy_log_dec_10,0.17261958194761634
tqwt_entropy_log_dec_20,0.17250200988107672
f3,0.17183610528357837
det_entropy_log_1_coef,0.17112586669931215
f2,0.17035204142074917
IMF_NSR_SEO,0.1700364818486064
tqwt_maxValue_dec_34,0.16530054430650476
tqwt_TKEO_mean_dec_33,0.1629196453423976
tqwt_minValue_dec_17,0.16209549172051768
app_LT_TKEO_mean_1_coef,0.1613093501089752
tqwt_skewnessValue_dec_21,0.16052338870032354
tqwt_TKEO_std_dec_9,0.15877783565049924
tqwt_medianValue_dec_8,0.15824099452490364
tqwt_TKEO_mean_dec_36,0.15418971557914357
app_LT_entropy_log_5_coef,0.15416793304694162
tqwt_stdValue_dec_7,0.15328418676052416
tqwt_kurtosisValue_dec_11,0.1515922674618109
tqwt_energy_dec_23,0.1508736996069548
tqwt_kurtosisValue_dec_3,0.1497723022825471
tqwt_TKEO_std_dec_28,0.14916756471544532
det_TKEO_mean_3_coef,0.1483096294970371
tqwt_medianValue_dec_21,0.14769462162097302
GNE_NSR_TKEO,0.14763676900836972
tqwt_energy_dec_12,0.14694685516065495
tqwt_kurtosisValue_dec_16,0.14676929175561315
mean_1st_delta_delta,0.14664889552262725
tqwt_skewnessValue_dec_1,0.1459501338996046
tqwt_energy_dec_16,0.14569006375067034
tqwt_entropy_shannon_dec_10,0.14528813007692823
meanAutoCorrHarmonicity,0.1450341220355498
tqwt_stdValue_dec_22,0.14424344941255246
app_LT_TKEO_mean_9_coef,0.1438998352279299
std_MFCC_0th_coef,0.14359259429992144
tqwt_meanValue_dec_9,0.14308246437222866
std_6th_delta,0.14274085891049196
tqwt_kurtosisValue_dec_23,0.14226144057747753
tqwt_TKEO_std_dec_19,0.1402153805897465
det_LT_TKEO_std_10_coef,0.139255724147979
app_entropy_log_5_coef,0.1378848419763969
GQ_prc5_95,0.13771856054915407
tqwt_energy_dec_24,0.1368815899148363
f4,0.136873391269539
std_2nd_delta_delta,0.13381465784267116
tqwt_stdValue_dec_17,0.13326376908997425
app_TKEO_std_3_coef,0.13094686038013134
ppq5Jitter,0.12975756581495837
tqwt_entropy_log_dec_11,0.12839407374295428
mean_MFCC_4th_coef,0.12761791494636526
app_entropy_shannon_9_coef,0.1260895452586387
app_LT_entropy_log_8_coef,0.12569019755964048
mean_MFCC_10th_coef,0.12451976388386447
tqwt_entropy_log_dec_13,0.12432899714886869
numPulses,0.12221807139573237
tqwt_entropy_shannon_dec_5,0.12185765899968311
tqwt_TKEO_std_dec_17,0.12171571002080254
tqwt_TKEO_std_dec_25,0.12017161822689999
app_TKEO_std_6_coef,0.12000591895885646
minIntensity,0.11986974272321924
tqwt_meanValue_dec_8,0.11965109663675551
app_entropy_log_4_coef,0.1194988983607315
app_LT_TKEO_std_9_coef,0.11942643088136665
tqwt_maxValue_dec_28,0.11891417295152983
mean_MFCC_9th_coef,0.11848635166154169
tqwt_TKEO_std_dec_2,0.11820901318498105
tqwt_skewnessValue_dec_16,0.11761958196511516
tqwt_medianValue_dec_10,0.11574327880243118
tqwt_entropy_log_dec_28,0.11544364017220564
tqwt_energy_dec_35,0.11468512441041737
stdDevPeriodPulses,0.11447539906181252
tqwt_meanValue_dec_25,0.11377981483495699
tqwt_medianValue_dec_22,0.11366975014877911
app_det_TKEO_mean_10_coef,0.11240090844596624
tqwt_entropy_log_dec_18,0.11235830929750154
tqwt_stdValue_dec_25,0.11112500829901044
app_LT_entropy_log_2_coef,0.11111021267307
tqwt_medianValue_dec_15,0.11096089898900167
tqwt_entropy_shannon_dec_23,0.11078602424334089
app_LT_entropy_shannon_6_coef,0.11071360115972691
mean_Log_energy,0.10973477685666172
tqwt_maxValue_dec_24,0.10956282208374614
gender,0.10948766350572531
tqwt_minValue_dec_11,0.10922482516957076
